Wed Nov 27 19:11:43 +0000 2019,my favorite duo. love u @jimmyfallon. thanks for your kindness and all that u do @BernieSanders. https://t.co/jKKzvifl5s,my favorite duo. love u @jimmyfallon. thanks for your kindness and all that u do @BernieSanders. 
Wed Nov 27 19:07:39 +0000 2019,my sweet baby https://t.co/cvdqjNk4Bl,my sweet baby 
Wed Nov 27 00:13:24 +0000 2019,"happy holidays 
‘thank u, next’ available at @ultabeauty https://t.co/cY4wGTDyR9 https://t.co/GR1WyFmeLg","happy holidays 
‘thank u, next’ available at @ultabeauty  "
Tue Nov 26 20:28:21 +0000 2019,i love u ! https://t.co/7w9VrwDLHv,i love u ! 
Tue Nov 26 07:35:30 +0000 2019,do u think it’s okay that midsommar is my favorite bedtime movie atm or should i seek help immediately https://t.co/VShEgOCTSY,do u think it’s okay that midsommar is my favorite bedtime movie atm or should i seek help immediately 
Tue Nov 26 07:30:16 +0000 2019,https://t.co/KTEvEnC1L1,
Tue Nov 26 03:45:20 +0000 2019,love u https://t.co/1JAFa92bvk,love u 
Tue Nov 26 03:44:38 +0000 2019,oh my god. it’s times like this i really wish i had better eyesight. well played. love u sm. https://t.co/4Ry7dvU4iT,oh my god. it’s times like this i really wish i had better eyesight. well played. love u sm. 
Tue Nov 26 03:33:20 +0000 2019,love uuuuuu https://t.co/0rxCwniHKa,love uuuuuu 
Tue Nov 26 03:31:24 +0000 2019,same https://t.co/4li9xvLgxS,same 
Tue Nov 26 03:30:13 +0000 2019,"it’s so mutual i can’t pull myself together 
sprinting to call my therapist https://t.co/jJsH9byG5s","it’s so mutual i can’t pull myself together 
sprinting to call my therapist "
Tue Nov 26 03:25:36 +0000 2019,nah i wish i had the words to express how fully and completely i love y’all. i’ll never get over it. fully prepared to cry every show for the remainder of tour. i’ve accepted it. fuck it. love u too much. it’s too moving and special.,nah i wish i had the words to express how fully and completely i love y’all. i’ll never get over it. fully prepared to cry every show for the remainder of tour. i’ve accepted it. fuck it. love u too much. it’s too moving and special.
Tue Nov 26 01:22:43 +0000 2019,@everydayitsari baby the band and i have to run it with the lighting and the content / projection at least once lmao i love u,@everydayitsari baby the band and i have to run it with the lighting and the content / projection at least once lmao i love u
Tue Nov 26 01:20:42 +0000 2019,@beaIruel pls don’t hate me we haven’t had time to rehearse it yet ! the back to back shows are hard because they have to load out and load in the stage so we haven’t had enough time to prepare it comfortably yet. soon i promise ! love u,@beaIruel pls don’t hate me we haven’t had time to rehearse it yet ! the back to back shows are hard because they have to load out and load in the stage so we haven’t had enough time to prepare it comfortably yet. soon i promise ! love u
Tue Nov 26 01:13:13 +0000 2019,thank u https://t.co/AdpARWJOSU,thank u 
Tue Nov 26 01:05:55 +0000 2019,#NewProfilePic https://t.co/C2vEqxnbTO,#NewProfilePic 
Tue Nov 26 01:05:55 +0000 2019,#NewProfilePic https://t.co/C2vEqxnbTO,#NewProfilePic 
Mon Nov 25 19:09:00 +0000 2019,@KALENGAROO 🖤 https://t.co/CnGNaXCydW,@KALENGAROO  
Mon Nov 25 19:08:23 +0000 2019,https://t.co/UOe6lcc0k9,
Mon Nov 25 04:52:19 +0000 2019,al-fuckin-most. cherishing every last second because.... i’m gonna miss this and u all very much. forreal. https://t.co/XUgCN55vOj,al-fuckin-most. cherishing every last second because.... i’m gonna miss this and u all very much. forreal. 
Mon Nov 25 04:47:40 +0000 2019,nah u have to chill. love u so so much. what a fuckin year. https://t.co/nTo1GlKOsN,nah u have to chill. love u so so much. what a fuckin year. 
Mon Nov 25 04:46:22 +0000 2019,me and the dancers rn. i need to log off. https://t.co/s3axhyIlVP,me and the dancers rn. i need to log off. 
Mon Nov 25 04:43:18 +0000 2019,oh my. at least i still made the button. i’m crying. things were going too well. https://t.co/OuwXnTbQdo,oh my. at least i still made the button. i’m crying. things were going too well. 
Sun Nov 24 23:19:57 +0000 2019,@angeIsring i cant imagine that happening. like ever. it’s such an important song to me. 🤍,@angeIsring i cant imagine that happening. like ever. it’s such an important song to me. 🤍
Sun Nov 24 23:13:34 +0000 2019,@caughtupinari @GrandesDevotion 🤍 you deserve,@caughtupinari @GrandesDevotion 🤍 you deserve
Sun Nov 24 23:13:12 +0000 2019,@gngbeca @GrandesDevotion lil too sad ! love u,@gngbeca @GrandesDevotion lil too sad ! love u
Sun Nov 24 22:58:37 +0000 2019,@GrandesDevotion i would love that sm before tour ends 🌙 we can start prepping that as well,@GrandesDevotion i would love that sm before tour ends  we can start prepping that as well
Sun Nov 24 22:56:43 +0000 2019,@nasasdeluxe get well soon again tonight 🤍 takes time to switch things out properly and make sure it runs smoothly with the content and the timing of the show,@nasasdeluxe get well soon again tonight 🤍 takes time to switch things out properly and make sure it runs smoothly with the content and the timing of the show
Sun Nov 24 22:47:50 +0000 2019,@starsouI we’re gonna put it in the show asap! don’t think we can have it by tonight but probably tomorrow. 🤍,@starsouI we’re gonna put it in the show asap! don’t think we can have it by tonight but probably tomorrow. 🤍
Sun Nov 24 22:45:20 +0000 2019,@piggybarkbutera @greedyline omg is this rn,@piggybarkbutera @greedyline omg is this rn
Sun Nov 24 22:44:54 +0000 2019,@pignolisass wait how is this real. she has my heart i’m dying.,@pignolisass wait how is this real. she has my heart i’m dying.
Sun Nov 24 06:30:11 +0000 2019,sssssSs https://t.co/Rb1DNYAEcl,sssssSs 
Sun Nov 24 04:22:21 +0000 2019,@breathingetwell it was,@breathingetwell it was
Sun Nov 24 04:21:24 +0000 2019,@aintnotearsleft no,@aintnotearsleft no
Sun Nov 24 04:11:30 +0000 2019,@alexghostin @knnewagb oof,@alexghostin @knnewagb oof
Sun Nov 24 04:10:39 +0000 2019,@knnewagb i-.... BE NICE. 😭,@knnewagb i-.... BE NICE. 
Sun Nov 24 04:06:35 +0000 2019,@knnewagb i just wonder whyyyy the cat voice / dialogue. 😭 i am sure she is the sweetest sweet sweetheart forreal !! but it’s definitley bizarre seeing people blend the two worlds lmao.,@knnewagb i just wonder whyyyy the cat voice / dialogue.  i am sure she is the sweetest sweet sweetheart forreal !! but it’s definitley bizarre seeing people blend the two worlds lmao.
Fri Nov 22 20:33:38 +0000 2019,"@_grandesmedia @grandesbreakup @billieeilish i feel the same way about her 💚 sweet, talented soul","@_grandesmedia @grandesbreakup @billieeilish i feel the same way about her  sweet, talented soul"
Fri Nov 22 20:28:26 +0000 2019,@needythankyou i dont :) i was fucking cold,@needythankyou i dont :) i was fucking cold
Fri Nov 22 19:42:28 +0000 2019,u can feel it feel it,u can feel it feel it
Fri Nov 22 19:35:19 +0000 2019,i want to sing get well soon tn,i want to sing get well soon tn
Fri Nov 22 18:56:28 +0000 2019,https://t.co/AF68UHMko5,
Fri Nov 22 05:26:46 +0000 2019,🌑,
Fri Nov 22 00:08:15 +0000 2019,love and thank you @billboard 🤍✉️https://t.co/B9HYcl2zgJ,love and thank you @billboard 🤍
Thu Nov 21 01:31:07 +0000 2019,https://t.co/KyR6Beur3f,
Thu Nov 21 01:30:53 +0000 2019,https://t.co/monfIoxv4u,
Wed Nov 20 22:43:41 +0000 2019,we love u motty https://t.co/r4W1FOiFr5,we love u motty 
Wed Nov 20 22:18:37 +0000 2019,i love u https://t.co/JDnyc5xLdo,i love u 
Wed Nov 20 22:18:25 +0000 2019,“that was my real toothbrush” - @MattBennett https://t.co/9tKMzYRl4Z,“that was my real toothbrush” - @MattBennett 
Wed Nov 20 21:56:12 +0000 2019,i love her so very much https://t.co/6OqqPvxz4e,i love her so very much 
Wed Nov 20 21:25:39 +0000 2019,@BADlDEAA actually. it’s always healthier to spend more time in falsetto anyway. not just when under weather. just to preserve. and make it through 100 shows as healthily as possible! this is why i usually mix everything as opposed to belt. i wanna sing forever.,@BADlDEAA actually. it’s always healthier to spend more time in falsetto anyway. not just when under weather. just to preserve. and make it through 100 shows as healthily as possible! this is why i usually mix everything as opposed to belt. i wanna sing forever.
Wed Nov 20 20:55:57 +0000 2019,"MY GUY. thank you Senator Sanders for coming to my show, making my whole night and for all that you stand for ! @headcountorg and i are doing our best to make you proud. we’ve already registered 20k+ young voters at my shows alone. also i will never smile this hard again promise. https://t.co/7UYqkXR0g1","MY GUY. thank you Senator Sanders for coming to my show, making my whole night and for all that you stand for ! @headcountorg and i are doing our best to make you proud. we’ve already registered 20k+ young voters at my shows alone. also i will never smile this hard again promise. "
Wed Nov 20 20:53:09 +0000 2019,@BADlDEAA i always try to do more falsetto stuff when i’m under the weather because it gives everything else a nice big stretch ! it’s what helps me prevent swelling if i’m under the weather or tired. for my fellow vocal nerds !!!!,@BADlDEAA i always try to do more falsetto stuff when i’m under the weather because it gives everything else a nice big stretch ! it’s what helps me prevent swelling if i’m under the weather or tired. for my fellow vocal nerds !!!!
Wed Nov 20 17:48:30 +0000 2019,can u sit on my lap the whole time https://t.co/5dq9HJ1W8y,can u sit on my lap the whole time 
Wed Nov 20 17:11:03 +0000 2019,thank u for acknowledging this music my beautiful best friends and i created in just a few weeks together. the acknowledgement is truly enough on its own for me and my heart. pls allow me to bring all of my friends who made this w me so they can make sure my heart is beating. 💍 https://t.co/GqBRyP2yCz,thank u for acknowledging this music my beautiful best friends and i created in just a few weeks together. the acknowledgement is truly enough on its own for me and my heart. pls allow me to bring all of my friends who made this w me so they can make sure my heart is beating.  
Wed Nov 20 17:08:45 +0000 2019,come hug me @VictoriaMonet https://t.co/3aUGZuCNOa,come hug me @VictoriaMonet 
Wed Nov 20 16:48:21 +0000 2019,five https://t.co/4aydfSAmWo,five 
Wed Nov 20 16:47:12 +0000 2019,pls come hold me (and grab the cliquot) @VictoriaMonet @TBHITS @SocialHouseTC,pls come hold me (and grab the cliquot) @VictoriaMonet @TBHITS @SocialHouseTC
Wed Nov 20 16:44:52 +0000 2019,https://t.co/x8RwYiuSi3,
Wed Nov 20 16:44:11 +0000 2019,crying. moved and honored. thank u @RecordingAcad.,crying. moved and honored. thank u @RecordingAcad.
Wed Nov 20 16:26:56 +0000 2019,oh wow oh wow,oh wow oh wow
Wed Nov 20 04:30:58 +0000 2019,https://t.co/FM1Mh6j4gD,
Wed Nov 20 04:28:54 +0000 2019,the most special show to me yet. truly. love u. this was too much to process and don’t know what to say yet but so grateful and thrilled. love u forever @LizGillies @MattBennett.,the most special show to me yet. truly. love u. this was too much to process and don’t know what to say yet but so grateful and thrilled. love u forever @LizGillies @MattBennett.
Wed Nov 20 04:27:56 +0000 2019,u a fuckin piano or what https://t.co/TaHUyJE9cE,u a fuckin piano or what 
Wed Nov 20 04:26:30 +0000 2019,@arianaschan @LizGillies “the confetti. it’s coming.”,@arianaschan @LizGillies “the confetti. it’s coming.”
Tue Nov 19 21:58:17 +0000 2019,probably https://t.co/9MWWJWOG1C,probably 
Tue Nov 19 18:40:05 +0000 2019,feeling: nervous 🥴🥴🥴 https://t.co/r60yN6KStH,feeling: nervous 🥴🥴🥴 
Tue Nov 19 18:23:07 +0000 2019,guys i can’t tell u why yet but i’m so excited for tonight i’ve never felt this way goodbye,guys i can’t tell u why yet but i’m so excited for tonight i’ve never felt this way goodbye
Tue Nov 19 18:15:58 +0000 2019,@arianacuIture @caIImeangeI silly asses 😭 how i love u,@arianacuIture @caIImeangeI silly asses  how i love u
Tue Nov 19 17:42:46 +0000 2019,🖤 @billboard https://t.co/6tzH7MvgIR, @billboard 
Tue Nov 19 15:29:37 +0000 2019,@ghostinrudy u are,@ghostinrudy u are
Tue Nov 19 15:29:06 +0000 2019,@jusdaydreamin sorry 😭,@jusdaydreamin sorry 
Tue Nov 19 14:23:50 +0000 2019,y’all make me so happy tf. love u. see u tonight.,y’all make me so happy tf. love u. see u tonight.
Tue Nov 19 13:55:55 +0000 2019,😭 https://t.co/7PbpxV7ZTn, 
Tue Nov 19 13:44:26 +0000 2019,ssssssSssSsSsss https://t.co/RC1F4uJAks,ssssssSssSsSsss 
Tue Nov 19 13:40:26 +0000 2019,deal. promise. thank u for caring. https://t.co/bXago1HkbI,deal. promise. thank u for caring. 
Tue Nov 19 01:18:00 +0000 2019,@tattoosmilee @cosmicmuch @gngbeca @invisibleseas @godisariana i love youuuu,@tattoosmilee @cosmicmuch @gngbeca @invisibleseas @godisariana i love youuuu
Tue Nov 19 01:14:09 +0000 2019,@cosmicmuch @gngbeca @invisibleseas @godisariana 🙂,@cosmicmuch @gngbeca @invisibleseas @godisariana 
Tue Nov 19 01:12:43 +0000 2019,@gngbeca @invisibleseas @godisariana you just read me so crazy i-,@gngbeca @invisibleseas @godisariana you just read me so crazy i-
Tue Nov 19 01:12:08 +0000 2019,@gngbeca @invisibleseas @godisariana oh duh. but. the growth and that came along the way ! without oversharing.. is a plus. grateful for all of it. and you.,@gngbeca @invisibleseas @godisariana oh duh. but. the growth and that came along the way ! without oversharing.. is a plus. grateful for all of it. and you.
Tue Nov 19 01:07:42 +0000 2019,@sweetenercass @gngbeca @invisibleseas @godisariana as did you all ! thank you,@sweetenercass @gngbeca @invisibleseas @godisariana as did you all ! thank you
Tue Nov 19 01:04:01 +0000 2019,@gngbeca @invisibleseas @godisariana thank god,@gngbeca @invisibleseas @godisariana thank god
Tue Nov 19 00:59:00 +0000 2019,@invisibleseas @godisariana 🖤,@invisibleseas @godisariana 
Tue Nov 19 00:57:23 +0000 2019,@natdrews go to sleeep,@natdrews go to sleeep
Tue Nov 19 00:56:12 +0000 2019,@arilvrs yes :),@arilvrs yes :)
Tue Nov 19 00:55:38 +0000 2019,@godisariana feels like 9 months to my body lolllll but what a truly precious 9 months it’s been,@godisariana feels like 9 months to my body lolllll but what a truly precious 9 months it’s been
Tue Nov 19 00:54:16 +0000 2019,@alldatgrande i will beat u to it i promise lmao,@alldatgrande i will beat u to it i promise lmao
Tue Nov 19 00:51:15 +0000 2019,@divineverytime @99LTJ u kidding? we’re so close to being done. i will miss it and u all terribly. cherishing all the time we’ve got.,@divineverytime @99LTJ u kidding? we’re so close to being done. i will miss it and u all terribly. cherishing all the time we’ve got.
Tue Nov 19 00:49:52 +0000 2019,@mrskinnyjeanz3 @99LTJ thank god. just the rest of me is fucked. 😭,@mrskinnyjeanz3 @99LTJ thank god. just the rest of me is fucked. 
Tue Nov 19 00:43:51 +0000 2019,@99LTJ nahhh. ily the most tho. it’s not ab my voice. my chords are healthy always for some strange reason thank god. it’s my lungs/the running around triggering my cough. shortening some sections temporarily bc i would rather that than cancel anything 🖤. but i do have a fun surprise.,@99LTJ nahhh. ily the most tho. it’s not ab my voice. my chords are healthy always for some strange reason thank god. it’s my lungs/the running around triggering my cough. shortening some sections temporarily bc i would rather that than cancel anything . but i do have a fun surprise.
Sun Nov 17 20:50:20 +0000 2019,my goodness. love you so so much. thank you my sweetest. https://t.co/n9894wF6A6,my goodness. love you so so much. thank you my sweetest. 
Sun Nov 17 20:28:24 +0000 2019,it sucks feeling like absolute shit but it sucks way more to not be with u all. u mean the world. i hope u truly know. love u.,it sucks feeling like absolute shit but it sucks way more to not be with u all. u mean the world. i hope u truly know. love u.
Sun Nov 17 20:20:39 +0000 2019,thank u for your kindness and love. wish i were with u today more than anything. u have no idea.,thank u for your kindness and love. wish i were with u today more than anything. u have no idea.
Sun Nov 17 20:19:34 +0000 2019,crying. i cant tell u how much i love and appreciate u all or like effectively express what a blessing it is to have u in my life.,crying. i cant tell u how much i love and appreciate u all or like effectively express what a blessing it is to have u in my life.
Sun Nov 17 20:17:11 +0000 2019,oh my heart https://t.co/OIUwbD6kZG,oh my heart 
Sun Nov 17 17:40:50 +0000 2019,@needyshells 🖤,@needyshells 
Sat Nov 16 21:05:56 +0000 2019,love u so much,love u so much
Sat Nov 16 21:05:22 +0000 2019,thank u my love. my head was literally beyond pounding. throat too. but this makes me happy to read. i love y’all and can’t tell u how much i appreciate your kindness. i’ll keep u posted. https://t.co/La9bISzvLZ,thank u my love. my head was literally beyond pounding. throat too. but this makes me happy to read. i love y’all and can’t tell u how much i appreciate your kindness. i’ll keep u posted. 
Fri Nov 15 21:19:33 +0000 2019,nah https://t.co/ZNUd0kmEn5,nah 
Fri Nov 15 21:17:29 +0000 2019,"love u more. see u in a little bit, charlottesville... 🤍 https://t.co/7KKzpPEHUF","love u more. see u in a little bit, charlottesville... 🤍 "
Fri Nov 15 20:58:05 +0000 2019,i- https://t.co/4GF8UP4sFm,i- 
Fri Nov 15 16:29:20 +0000 2019,💿🤍 https://t.co/dNeeLoVQYA,🤍 
Thu Nov 14 21:24:13 +0000 2019,@remsown he had one first🤍,@remsown he had one first🤍
Thu Nov 14 04:04:29 +0000 2019,i love @joangrande,i love @joangrande
Wed Nov 13 18:28:45 +0000 2019,‘in my head’ outtake  🤍💿 @voguemagazine https://t.co/cIwgEvmw2w,‘in my head’ outtake  🤍 @voguemagazine 
Wed Nov 13 18:18:34 +0000 2019,https://t.co/Av93D4IKlw,
Tue Nov 12 18:04:07 +0000 2019,https://t.co/RAL0Ag2q6c @AMAs https://t.co/UWs8gJq3K4, @AMAs 
Mon Nov 11 21:16:24 +0000 2019,love u,love u
Mon Nov 11 20:59:41 +0000 2019,we got all in our feelins https://t.co/ZPJn60mwUG,we got all in our feelins 
Mon Nov 11 20:58:38 +0000 2019,omg promise* love u,omg promise* love u
Mon Nov 11 20:57:19 +0000 2019,"hello 
would u please consider opening back up on june 26 instead https://t.co/7u38CxQAbk","hello 
would u please consider opening back up on june 26 instead "
Mon Nov 11 20:55:04 +0000 2019,to keep til we get old .... booooi https://t.co/nqkKKV34MI,to keep til we get old .... booooi 
Mon Nov 11 20:54:02 +0000 2019,so u promised me that https://t.co/2ELRaR2e4T,so u promised me that 
Mon Nov 11 18:09:57 +0000 2019,2015 makin christmas n chill 🖤 https://t.co/sHYTW6iNni,2015 makin christmas n chill  
Mon Nov 11 02:58:15 +0000 2019,love u more https://t.co/j60t8hI7j2,love u more 
Mon Nov 11 02:56:34 +0000 2019,i love u lmao https://t.co/xWnD2HoEeO,i love u lmao 
Mon Nov 11 02:55:51 +0000 2019,it’s been 84 years https://t.co/Cd1GjdUGen,it’s been 84 years 
Mon Nov 11 02:55:08 +0000 2019,it’s a fossil https://t.co/RSsfdcTUPF,it’s a fossil 
Mon Nov 11 02:50:42 +0000 2019,it’s so funny. but like damn... thank u so much everybody ! 🤍 ･ﾟ｡ https://t.co/iTSKyIDJoQ,it’s so funny. but like damn... thank u so much everybody ! 🤍  
Mon Nov 11 02:47:59 +0000 2019,this can’t be real https://t.co/iIz3DRUirl,this can’t be real 
Mon Nov 11 02:25:32 +0000 2019,｡ﾟ🤍 ･ﾟ｡ ᵎ https://t.co/B6dpsGpLqR,🤍  ᵎ 
Mon Nov 11 02:15:29 +0000 2019,ᵒᵐᵍ https://t.co/Hab1Zx1cx3,ᵒᵐᵍ 
Mon Nov 11 01:10:15 +0000 2019,u already know https://t.co/X1BLfSalS0,u already know 
Sun Nov 10 22:56:46 +0000 2019,@voguingariana i love him 🥺,@voguingariana i love him 🥺
Sun Nov 10 22:42:41 +0000 2019,retiring. https://t.co/fgh7nogoBI,retiring. 
Sun Nov 10 22:16:45 +0000 2019,https://t.co/F6VGmy3bpt,
Sun Nov 10 22:13:13 +0000 2019,thank u to all the new christmas n chill listenersss. i’m so thankful this ep is exists. @tbhits @victoriamonet love u. let me know what your favorite is ! 🤍 https://t.co/NTKEuyEltS,thank u to all the new christmas n chill listenersss. i’m so thankful this ep is exists. @tbhits @victoriamonet love u. let me know what your favorite is ! 🤍 
Sun Nov 10 20:16:45 +0000 2019,no it’s my fav project this is the happiest i’ve ever been https://t.co/LVU5a1crPV,no it’s my fav project this is the happiest i’ve ever been 
Sun Nov 10 20:13:52 +0000 2019,hold me https://t.co/98wrN6cJNM,hold me 
Sun Nov 10 16:56:26 +0000 2019,i hope y’all are happy w everything and had the best time. love u ! https://t.co/pgXtoozBL4,i hope y’all are happy w everything and had the best time. love u ! 
Sun Nov 10 16:54:54 +0000 2019,love u https://t.co/RF1f8iPokV,love u 
Sun Nov 10 16:53:48 +0000 2019,thank u and i concur https://t.co/2AS2varDhz,thank u and i concur 
Sun Nov 10 16:52:20 +0000 2019,not our little baby anymore https://t.co/arVrCO3aps,not our little baby anymore 
Sun Nov 10 16:50:39 +0000 2019,"yes ! (this includes the scary, honest work that must be done to unpack all of your fears and traumas pls) https://t.co/0zqyFvAoDT","yes ! (this includes the scary, honest work that must be done to unpack all of your fears and traumas pls) "
Sun Nov 10 16:47:43 +0000 2019,oh my god. my favorite body of work. she is rising from the dead ! thank u new listeners of christmas n chill and hello everyone that is just now discovering it. i’m so happy. https://t.co/wez0xiHcIl,oh my god. my favorite body of work. she is rising from the dead ! thank u new listeners of christmas n chill and hello everyone that is just now discovering it. i’m so happy. 
Sun Nov 10 01:13:09 +0000 2019,love u way more https://t.co/stLZZ9aZj9,love u way more 
Sun Nov 10 01:11:29 +0000 2019,@aintgotnotears but you know the answer to this is broad hence why i don’t sing certain songs. 🖤🖤🖤,@aintgotnotears but you know the answer to this is broad hence why i don’t sing certain songs. 
Sun Nov 10 01:07:18 +0000 2019,yeee https://t.co/SEWzxl6hFp,yeee 
Sun Nov 10 01:05:26 +0000 2019,love u enjoy https://t.co/lsXjDwBHAD,love u enjoy 
Sun Nov 10 01:03:42 +0000 2019,omg https://t.co/c4HyB9an0S,omg 
Sun Nov 10 01:02:12 +0000 2019,i’m so excited to start shouting “c’mon locals” on stage whenever y’all request my cult classics https://t.co/BDrwZq5dnW,i’m so excited to start shouting “c’mon locals” on stage whenever y’all request my cult classics 
Sun Nov 10 01:00:49 +0000 2019,i literally don’t go on for another hour &amp; a half pls. gettin ready for u. love u &amp; enjoy @SocialHouseTC and show them the most love ! https://t.co/P8ZAo2ChVo,i literally don’t go on for another hour &amp; a half pls. gettin ready for u. love u &amp; enjoy @SocialHouseTC and show them the most love ! 
Sun Nov 10 00:59:36 +0000 2019,ok https://t.co/Y8hKpQpR9s,ok 
Sun Nov 10 00:58:10 +0000 2019,love y’all so much u have no idea. pls have so much fun and sing your hearts out to christmas n chill bc no one on earth bought it or has heard it or will know what’s happening.,love y’all so much u have no idea. pls have so much fun and sing your hearts out to christmas n chill bc no one on earth bought it or has heard it or will know what’s happening.
Sat Nov 09 21:24:29 +0000 2019,@NRJhitmusiconly 🖤🖤🖤,@NRJhitmusiconly 
Sat Nov 09 21:19:47 +0000 2019,what !! merci ! je t’aime https://t.co/TUjCtotnAn,what !! merci ! je t’aime 
Sat Nov 09 17:51:07 +0000 2019,🤍 https://t.co/0RGBrFCg27,🤍 
Sat Nov 09 17:42:37 +0000 2019,part three https://t.co/YLekXI3nqI,part three 
Sat Nov 09 05:32:12 +0000 2019,@ariarmyy @VictoriaJustice @LizGillies @DaniellaMonet @MattBennett @AvanJogia @leonthomas mine too,@ariarmyy @VictoriaJustice @LizGillies @DaniellaMonet @MattBennett @AvanJogia @leonthomas mine too
Sat Nov 09 05:25:58 +0000 2019,@VictoriaJustice @LizGillies @DaniellaMonet @MattBennett @AvanJogia @leonthomas 🖤🥺,@VictoriaJustice @LizGillies @DaniellaMonet @MattBennett @AvanJogia @leonthomas 🥺
Sat Nov 09 05:21:37 +0000 2019,#thankunextgen starts back up tomorrow ! @HeadCountOrg will be at every show &amp; you can register online. please make time to become a voter if you haven’t already. https://t.co/6rhDi3SLnl,#thankunextgen starts back up tomorrow ! @HeadCountOrg will be at every show &amp; you can register online. please make time to become a voter if you haven’t already. 
Sat Nov 09 05:19:18 +0000 2019,🖤 https://t.co/jjpazYT43Y, 
Sat Nov 09 00:55:10 +0000 2019,ᵎ ᵎ ᵎ,ᵎ ᵎ ᵎ
Thu Nov 07 19:14:31 +0000 2019,"nope. neva. see u so soooon, my babes. https://t.co/Q65YSKcUZn","nope. neva. see u so soooon, my babes. "
Thu Nov 07 19:12:29 +0000 2019,@ariherbibble y’all LOVED IT at first 🥺 but ... 80 something shows later,@ariherbibble y’all LOVED IT at first 🥺 but ... 80 something shows later
Thu Nov 07 19:10:25 +0000 2019,truly. https://t.co/nm4DbIMxoS,truly. 
Thu Nov 07 19:09:55 +0000 2019,she’s there. i know y’all i think you’ll be pleased ! https://t.co/ZJYSX0S9dU,she’s there. i know y’all i think you’ll be pleased ! 
Thu Nov 07 19:04:03 +0000 2019,you’ll seeeee. love u. https://t.co/OW3MPXojd1,you’ll seeeee. love u. 
Thu Nov 07 18:59:38 +0000 2019,nnnnnope https://t.co/HEDtKQ5Lsc,nnnnnope 
Thu Nov 07 18:52:10 +0000 2019,:) https://t.co/4PEW1ZbeBW,:) 
Thu Nov 07 18:48:52 +0000 2019,i can’t wait. love u so much. https://t.co/CFeScjyuWs,i can’t wait. love u so much. 
Thu Nov 07 18:46:36 +0000 2019,me too but. you know there will be so much more eventually. love u. https://t.co/XG21NOJLWB,me too but. you know there will be so much more eventually. love u. 
Thu Nov 07 18:44:55 +0000 2019,me neither. can’t believe the last leg is finally here. imma enjoy every moment w y’all. https://t.co/OSXwlszZyc,me neither. can’t believe the last leg is finally here. imma enjoy every moment w y’all. 
Thu Nov 07 18:34:22 +0000 2019,‘ᵃ ˢᵉᶜ ᵒʳ ᵐᶦⁿˢ’ love u hello https://t.co/Rtq7bmImAV,‘ᵃ ˢᵉᶜ ᵒʳ ᵐᶦⁿˢ’ love u hello 
Thu Nov 07 18:20:56 +0000 2019,this is so sick and special. i still can’t believe any of it or how quickly it’s all happened ??? still feels like i just started. thank u / love u. https://t.co/3AnU9DmPeJ,this is so sick and special. i still can’t believe any of it or how quickly it’s all happened ??? still feels like i just started. thank u / love u. 
Thu Nov 07 01:00:06 +0000 2019,i love you so much more ! foreva https://t.co/Do3iDfzyYl,i love you so much more ! foreva 
Wed Nov 06 01:07:10 +0000 2019,boy u showed me things come hold me please n never let me go,boy u showed me things come hold me please n never let me go
Wed Nov 06 01:04:33 +0000 2019,tru. https://t.co/figvzdGTY6,tru. 
Wed Nov 06 00:37:53 +0000 2019,n I told u all i wanted was forever w my boo,n I told u all i wanted was forever w my boo
Tue Nov 05 20:39:56 +0000 2019,but listen to you.ᶦ ˡᵒᵛᵉ ʸᵒᵘᵘᵘᵘᵎᵎᵎᵎ https://t.co/PRJeWQ23pP,but listen to you.ᶦ ˡᵒᵛᵉ ʸᵒᵘᵘᵘᵘᵎᵎᵎᵎ 
Mon Nov 04 23:10:05 +0000 2019,https://t.co/pEC8rRQVWA,
Mon Nov 04 22:43:13 +0000 2019,@nexthankyou i honestly really just wanted to use my omelette joke,@nexthankyou i honestly really just wanted to use my omelette joke
Mon Nov 04 22:42:57 +0000 2019,@nexthankyou 😭🖤,@nexthankyou 
Mon Nov 04 22:42:15 +0000 2019,@ghostinleigh neva ! i come on here n love u all day every day pls 🤍,@ghostinleigh neva ! i come on here n love u all day every day pls 🤍
Mon Nov 04 22:40:56 +0000 2019,@buwygyib love u more ! heading back to reh. be happy.,@buwygyib love u more ! heading back to reh. be happy.
Mon Nov 04 22:38:50 +0000 2019,"@gracefullyagb always, silly ass. 
i just came on bc i want to make sure y’all know how i feel about these things and that u can be happy for others! love u !","@gracefullyagb always, silly ass. 
i just came on bc i want to make sure y’all know how i feel about these things and that u can be happy for others! love u !"
Mon Nov 04 22:36:18 +0000 2019,@nexthankyou girl i have a team that sends me reports so i can make sure ya happy. alexa’s got omelettes to review pls.,@nexthankyou girl i have a team that sends me reports so i can make sure ya happy. alexa’s got omelettes to review pls.
Mon Nov 04 22:32:08 +0000 2019,"@sunkissedhanna again, i don’t. but i hear from lil birdies if you’re upset and i gotta come comfort or set things straight. love u.","@sunkissedhanna again, i don’t. but i hear from lil birdies if you’re upset and i gotta come comfort or set things straight. love u."
Mon Nov 04 21:47:40 +0000 2019,@lizzo ayeeeeee ! get it sis !!!!!! love u ! congrats on another smash !,@lizzo ayeeeeee ! get it sis !!!!!! love u ! congrats on another smash !
